15:22:04   28.05.2013              Programm Climap                 MeteoSchweiz
Zeitangaben in UTC 0040 (UTC)  =  01:40 Uhr Winterzeit  =  02:40 Uhr Sommerzeit
Auswahlperiode: 01.01.1998 00:00  -  31.12.2012 23:50 UTC 32767 -> Keine Angabe
Anzahl Stationen  1
    32	Payerne                  490 m.?.M.	562150/ 184855
Anzahl Parameter  3
   211  Lufttemperatur 2 m über Boden; Tagesmittel  [°C]
   224  Globalstrahlung; Tagesmittel  [W/m²]
   237  Niederschlag; Kalendertag  [mm]

  STA JAHR MO TG HH MM   211   224   237
   32 1998 11  3  0  0   9.1    12  24.7 
   32 1998 11  4  0  0   6.4    24  21.9 
   32 1998 11  5  0  0   4.4    79   0.6 
   32 1998 11  6  0  0   3.2   104   0.0 
   32 1998 11  7  0  0   2.9   102   0.0 
   32 1998 11  8  0  0   2.8    88   0.0 
   32 1998 11  9  0  0   7.7    55   0.3 
   32 1998 11 10  0  0   9.4    10  13.3 
   32 1998 11 11  0  0   3.9    88   0.0 
   32 1998 11 12  0  0   1.7    50   1.8 
   32 1998 11 13  0  0   3.6    50   0.0 
   32 1998 11 14  0  0   4.7    20   7.9 
   32 1998 11 15  0  0   3.6    20   3.3 
   32 1998 11 16  0  0   2.6    31   2.1 
   32 1998 11 17  0  0   0.5    84   0.2 
   32 1998 11 18  0  0  -2.1    43   0.0 
   32 1998 11 19  0  0  -2.7    68   0.0 
   32 1998 11 20  0  0  -1.9    69   0.0 
   32 1998 11 21  0  0  -3.4    60   0.0 
   32 1998 11 22  0  0  -5.3    70   0.0 
   32 1998 11 23  0  0  -6.1    76   0.0 
   32 1998 11 24  0  0  -2.2    44   0.0 
   32 1998 11 25  0  0  -0.5    35   2.0 
   32 1998 11 26  0  0   0.1    32   2.1 
   32 1998 11 27  0  0   2.0    31   3.1 
   32 1998 11 28  0  0   0.2    44   0.0 
   32 1998 11 29  0  0   0.1    25   4.0 
   32 1998 11 30  0  0   0.6    20   1.9 
   32 1998 12  1  0  0   0.1    11   0.0 
   32 1998 12  2  0  0  -1.2    28   0.0 
   32 1998 12  3  0  0  -3.1    14   0.0 
   32 1998 12  4  0  0  -3.0    19   0.0 
   32 1998 12  5  0  0  -0.7    31   0.0 
   32 1998 12  6  0  0  -1.0    39   1.1 
   32 1998 12  7  0  0  -2.7    43   0.0 
   32 1998 12  8  0  0  -6.8    70   0.0 
   32 1998 12  9  0  0  -4.0    26   2.6 
   32 1998 12 10  0  0  -0.3    39   0.2 
   32 1998 12 11  0  0   3.2    22   4.3 
   32 1998 12 12  0  0   2.1    16   8.6 
   32 1998 12 13  0  0   7.4    57   0.7 
   32 1998 12 14  0  0   3.1    53   0.0 
   32 1998 12 15  0  0  -1.5    35   0.0 
   32 1998 12 16  0  0   1.1    48   0.0 
   32 1998 12 17  0  0   0.9    13   0.0 
   32 1998 12 18  0  0  -0.6    27   0.0 
   32 1998 12 19  0  0   4.4    40   0.0 
